order_id,user_id,product_id,order_date,quantity,day_of_week,week_of_year,month,year
1,376,98,2024-12-30,2,0,1,12,2024
2,279,164,2024-07-06,2,5,27,7,2024
3,312,33,2024-05-06,1,0,19,5,2024
4,243,60,2025-04-13,4,6,15,4,2025
5,358,106,2024-03-26,4,1,13,3,2024
6,307,134,2025-06-11,3,2,24,6,2025
7,77,180,2025-03-26,3,2,13,3,2025
8,147,170,2024-07-15,1,0,29,7,2024
9,460,92,2025-01-30,1,3,5,1,2025
10,418,181,2024-08-28,4,2,35,8,2024
11,396,59,2025-12-11,3,3,50,12,2025
12,164,23,2025-11-20,3,3,47,11,2025
13,350,195,2024-12-11,1,2,50,12,2024
14,167,73,2026-01-04,1,6,1,1,2026
15,307,132,2025-01-08,2,2,2,1,2025
16,300,36,2025-08-31,4,6,35,8,2025
17,498,94,2025-06-12,3,3,24,6,2025
18,335,18,2025-11-24,1,0,48,11,2025
19,251,69,2024-11-18,2,0,47,11,2024
20,168,41,2025-06-29,4,6,26,6,2025
21,102,157,2024-11-20,1,2,47,11,2024
22,229,57,2024-03-26,1,1,13,3,2024
23,90,33,2026-02-06,2,4,6,2,2026
24,331,82,2025-11-18,4,1,47,11,2025
25,307,126,2024-03-20,1,2,12,3,2024
26,233,9,2024-10-03,4,3,40,10,2024
27,453,191,2024-09-18,2,2,38,9,2024
28,197,144,2024-03-22,1,4,12,3,2024
29,161,85,2026-02-27,3,4,9,2,2026
30,411,186,2024-08-15,2,3,33,8,2024
31,339,15,2025-12-21,1,6,51,12,2025
32,14,172,2025-07-19,2,5,29,7,2025
33,367,90,2024-03-20,1,2,12,3,2024
34,480,27,2024-11-26,1,1,48,11,2024
35,467,106,2024-10-11,1,4,41,10,2024
36,76,38,2026-02-06,3,4,6,2,2026
37,472,146,2025-03-13,4,3,11,3,2025
38,121,75,2025-06-23,3,0,26,6,2025
39,276,96,2025-03-07,4,4,10,3,2025
40,320,23,2025-10-22,2,2,43,10,2025
41,186,197,2024-08-05,4,0,32,8,2024
42,51,58,2024-04-27,1,5,17,4,2024
43,381,63,2025-09-16,2,1,38,9,2025
44,143,5,2025-05-19,3,0,21,5,2025
45,77,44,2025-09-01,1,0,36,9,2025
46,289,36,2024-05-04,2,5,18,5,2024
47,82,57,2025-08-29,3,4,35,8,2025
48,285,56,2024-12-23,3,0,52,12,2024
49,378,140,2025-05-05,1,0,19,5,2025
50,168,184,2025-01-20,3,0,4,1,2025
51,35,133,2024-10-11,2,4,41,10,2024
52,268,171,2025-10-18,1,5,42,10,2025
53,88,116,2024-04-25,4,3,17,4,2024
54,123,142,2024-05-18,4,5,20,5,2024
55,438,82,2024-08-17,3,5,33,8,2024
56,115,122,2025-05-19,4,0,21,5,2025
57,410,105,2025-05-20,1,1,21,5,2025
58,495,150,2025-07-19,3,5,29,7,2025
59,154,131,2025-06-01,1,6,22,6,2025
60,22,145,2024-12-15,4,6,50,12,2024
61,484,65,2024-07-02,1,1,27,7,2024
62,337,187,2025-03-08,3,5,10,3,2025
63,97,81,2024-04-09,2,1,15,4,2024
64,123,200,2024-10-10,2,3,41,10,2024
65,289,76,2025-07-14,1,0,29,7,2025
66,442,132,2025-02-06,4,3,6,2,2025
67,313,144,2025-06-14,1,5,24,6,2025
68,178,23,2024-12-07,1,5,49,12,2024
69,159,96,2025-05-17,2,5,20,5,2025
70,438,8,2026-01-20,3,1,4,1,2026
71,301,128,2024-07-08,1,0,28,7,2024
72,181,104,2026-01-22,4,3,4,1,2026
73,326,105,2025-04-03,4,3,14,4,2025
74,457,2,2024-05-21,3,1,21,5,2024
75,290,7,2024-11-25,2,0,48,11,2024
76,320,188,2025-08-21,4,3,34,8,2025
77,97,5,2024-03-20,3,2,12,3,2024
78,277,150,2025-05-11,2,6,19,5,2025
79,196,173,2024-12-03,1,1,49,12,2024
80,144,146,2024-08-04,2,6,31,8,2024
81,137,92,2025-08-06,1,2,32,8,2025
82,302,155,2025-07-07,2,0,28,7,2025
83,128,153,2024-11-08,4,4,45,11,2024
84,301,91,2024-07-07,2,6,27,7,2024
85,423,126,2024-11-19,1,1,47,11,2024
86,300,96,2025-10-24,4,4,43,10,2025
87,370,139,2024-08-26,2,0,35,8,2024
88,439,32,2024-07-07,1,6,27,7,2024
89,34,49,2024-07-16,2,1,29,7,2024
90,126,145,2024-12-24,4,1,52,12,2024
91,152,24,2024-12-28,2,5,52,12,2024
92,245,166,2024-08-30,1,4,35,8,2024
93,31,74,2024-12-13,4,4,50,12,2024
94,138,43,2025-01-01,4,2,1,1,2025
95,385,111,2024-03-21,4,3,12,3,2024
96,476,142,2024-03-23,3,5,12,3,2024
97,166,197,2025-05-27,3,1,22,5,2025
98,448,81,2025-02-08,1,5,6,2,2025
99,198,156,2026-02-16,4,0,8,2,2026
100,62,172,2026-02-27,4,4,9,2,2026
101,487,172,2024-10-20,3,6,42,10,2024
102,18,108,2024-09-09,1,0,37,9,2024
103,165,47,2025-04-29,4,1,18,4,2025
104,277,182,2025-10-29,3,2,44,10,2025
105,108,25,2025-04-30,2,2,18,4,2025
106,92,13,2025-09-16,3,1,38,9,2025
107,301,55,2024-10-27,4,6,43,10,2024
108,271,68,2024-07-14,3,6,28,7,2024
109,88,146,2024-08-20,2,1,34,8,2024
110,66,177,2024-11-02,4,5,44,11,2024
111,444,98,2025-05-17,2,5,20,5,2025
112,208,151,2025-01-11,2,5,2,1,2025
113,112,193,2025-10-05,4,6,40,10,2025
114,335,18,2025-05-09,2,4,19,5,2025
115,128,54,2024-05-13,1,0,20,5,2024
116,386,24,2024-09-09,4,0,37,9,2024
117,129,30,2025-08-22,3,4,34,8,2025
118,471,94,2025-07-12,2,5,28,7,2025
119,458,155,2024-12-16,3,0,51,12,2024
120,170,138,2024-06-22,1,5,25,6,2024
121,346,133,2025-06-04,4,2,23,6,2025
122,331,200,2024-12-13,4,4,50,12,2024
123,500,43,2025-10-26,2,6,43,10,2025
124,228,98,2025-08-24,1,6,34,8,2025
125,70,26,2025-02-21,2,4,8,2,2025
126,397,5,2024-04-22,1,0,17,4,2024
127,117,66,2025-10-22,2,2,43,10,2025
128,340,100,2025-12-02,3,1,49,12,2025
129,391,73,2024-04-25,2,3,17,4,2024
130,69,110,2025-01-22,3,2,4,1,2025
131,205,3,2026-01-23,1,4,4,1,2026
132,316,76,2025-07-23,2,2,30,7,2025
133,283,87,2025-04-02,1,2,14,4,2025
134,335,48,2024-05-26,3,6,21,5,2024
135,319,129,2025-10-01,1,2,40,10,2025
136,382,144,2026-01-28,2,2,5,1,2026
137,56,167,2024-11-20,3,2,47,11,2024
138,248,170,2024-07-12,1,4,28,7,2024
139,109,135,2025-12-28,2,6,52,12,2025
140,497,198,2025-02-27,1,3,9,2,2025
141,326,189,2025-03-18,2,1,12,3,2025
142,162,9,2026-01-25,3,6,4,1,2026
143,285,83,2025-04-26,1,5,17,4,2025
144,126,132,2024-03-29,3,4,13,3,2024
145,227,8,2024-11-16,4,5,46,11,2024
146,356,109,2024-11-03,1,6,44,11,2024
147,357,179,2025-05-23,2,4,21,5,2025
148,117,188,2025-06-07,1,5,23,6,2025
149,430,180,2024-05-07,4,1,19,5,2024
150,464,172,2025-05-09,3,4,19,5,2025
151,262,67,2024-06-25,3,1,26,6,2024
152,52,96,2024-11-18,2,0,47,11,2024
153,82,107,2024-11-08,3,4,45,11,2024
154,227,38,2025-02-21,3,4,8,2,2025
155,323,29,2024-09-13,2,4,37,9,2024
156,500,95,2025-07-16,4,2,29,7,2025
157,32,47,2025-04-02,4,2,14,4,2025
158,86,153,2024-05-21,2,1,21,5,2024
159,214,11,2024-04-27,1,5,17,4,2024
160,456,29,2024-04-18,1,3,16,4,2024
161,412,98,2024-06-07,1,4,23,6,2024
162,15,20,2025-12-16,3,1,51,12,2025
163,125,169,2025-03-09,1,6,10,3,2025
164,22,76,2024-04-06,1,5,14,4,2024
165,365,61,2025-10-28,3,1,44,10,2025
166,232,155,2025-06-04,1,2,23,6,2025
167,274,161,2025-07-22,4,1,30,7,2025
168,350,127,2026-03-08,1,6,10,3,2026
169,463,86,2025-06-05,3,3,23,6,2025
170,253,9,2024-08-31,1,5,35,8,2024
171,53,12,2024-04-22,2,0,17,4,2024
172,311,103,2025-04-02,2,2,14,4,2025
173,100,168,2024-04-27,4,5,17,4,2024
174,106,129,2025-05-16,3,4,20,5,2025
175,133,116,2024-09-03,3,1,36,9,2024
176,405,145,2024-07-09,3,1,28,7,2024
177,163,135,2026-02-05,1,3,6,2,2026
178,477,5,2024-06-25,1,1,26,6,2024
179,446,153,2024-04-25,2,3,17,4,2024
180,172,52,2024-11-17,4,6,46,11,2024
181,14,169,2025-05-15,1,3,20,5,2025
182,496,123,2024-05-28,1,1,22,5,2024
183,27,41,2026-02-22,3,6,8,2,2026
184,11,26,2025-12-17,3,2,51,12,2025
185,460,46,2025-10-29,1,2,44,10,2025
186,186,100,2024-04-10,4,2,15,4,2024
187,276,171,2025-07-21,4,0,30,7,2025
188,198,96,2025-11-14,3,4,46,11,2025
189,39,54,2025-10-20,1,0,43,10,2025
190,245,46,2024-09-25,4,2,39,9,2024
191,72,75,2024-10-14,2,0,42,10,2024
192,379,147,2024-11-01,3,4,44,11,2024
193,71,132,2024-12-28,4,5,52,12,2024
194,379,47,2024-06-14,3,4,24,6,2024
195,199,39,2025-07-16,2,2,29,7,2025
196,156,132,2024-09-17,1,1,38,9,2024
197,312,184,2024-04-13,1,5,15,4,2024
198,348,144,2024-10-20,2,6,42,10,2024
199,155,147,2025-08-22,1,4,34,8,2025
200,250,107,2024-07-21,4,6,29,7,2024
201,326,185,2025-10-16,2,3,42,10,2025
202,335,13,2024-04-04,1,3,14,4,2024
203,384,118,2026-02-05,3,3,6,2,2026
204,32,55,2025-07-30,3,2,31,7,2025
205,488,117,2025-02-01,1,5,5,2,2025
206,49,53,2024-05-15,4,2,20,5,2024
207,305,175,2024-09-18,2,2,38,9,2024
208,480,193,2025-11-30,4,6,48,11,2025
209,334,21,2024-07-29,3,0,31,7,2024
210,493,42,2024-04-28,2,6,17,4,2024
211,400,137,2025-08-04,4,0,32,8,2025
212,206,179,2025-05-30,2,4,22,5,2025
213,167,156,2025-01-19,2,6,3,1,2025
214,44,66,2025-08-08,3,4,32,8,2025
215,141,28,2024-03-14,2,3,11,3,2024
216,108,31,2024-04-14,4,6,15,4,2024
217,175,189,2025-07-11,2,4,28,7,2025
218,355,156,2024-06-14,4,4,24,6,2024
219,428,177,2024-03-11,1,0,11,3,2024
220,94,163,2025-07-01,2,1,27,7,2025
221,497,32,2025-09-24,3,2,39,9,2025
222,322,104,2024-04-28,3,6,17,4,2024
223,221,143,2025-01-26,3,6,4,1,2025
224,420,181,2025-02-16,1,6,7,2,2025
225,334,189,2025-12-12,3,4,50,12,2025
226,68,159,2024-12-31,3,1,1,12,2024
227,106,138,2025-07-29,2,1,31,7,2025
228,418,166,2024-12-24,3,1,52,12,2024
229,391,31,2024-04-01,4,0,14,4,2024
230,400,131,2024-08-13,3,1,33,8,2024
231,488,141,2026-03-09,2,0,11,3,2026
232,204,107,2024-07-24,1,2,30,7,2024
233,468,129,2026-02-26,1,3,9,2,2026
234,68,157,2024-05-18,1,5,20,5,2024
235,240,81,2025-07-18,3,4,29,7,2025
236,359,155,2026-01-11,3,6,2,1,2026
237,80,92,2024-12-03,4,1,49,12,2024
238,29,158,2024-10-06,4,6,40,10,2024
239,299,134,2025-12-09,1,1,50,12,2025
240,252,157,2024-11-07,3,3,45,11,2024
241,85,128,2024-05-09,4,3,19,5,2024
242,169,96,2025-10-28,2,1,44,10,2025
243,459,80,2025-04-13,3,6,15,4,2025
244,119,119,2024-04-28,2,6,17,4,2024
245,43,145,2024-11-18,2,0,47,11,2024
246,45,119,2025-08-28,1,3,35,8,2025
247,357,13,2024-06-03,2,0,23,6,2024
248,475,15,2024-03-18,3,0,12,3,2024
249,59,78,2025-11-08,2,5,45,11,2025
250,55,160,2024-07-14,4,6,28,7,2024
251,428,3,2026-01-28,3,2,5,1,2026
252,463,186,2025-08-07,3,3,32,8,2025
253,282,161,2025-06-23,2,0,26,6,2025
254,156,98,2024-07-09,3,1,28,7,2024
255,115,106,2025-10-03,1,4,40,10,2025
256,62,185,2025-07-13,2,6,28,7,2025
257,115,144,2024-06-09,1,6,23,6,2024
