product_id,order_date,day_of_week,month,total_daily_quantity
1,2024-05-05,6,5,2
1,2024-06-13,3,6,3
1,2024-07-05,4,7,2
1,2024-07-06,5,7,2
1,2024-07-11,3,7,3
1,2024-08-07,2,8,3
1,2024-09-30,0,9,4
1,2024-10-31,3,10,1
1,2024-12-29,6,12,4
1,2025-05-12,0,5,1
1,2025-08-25,0,8,4
1,2025-09-09,1,9,3
1,2025-09-13,5,9,3
1,2025-09-29,0,9,3
1,2025-10-07,1,10,1
1,2025-11-06,3,11,4
1,2025-11-10,0,11,2
1,2025-11-13,3,11,1
1,2025-12-05,4,12,2
1,2026-02-28,5,2,3
2,2024-03-27,2,3,4
2,2024-04-03,2,4,2
2,2024-05-16,3,5,4
2,2024-05-21,1,5,3
2,2024-05-29,2,5,2
2,2024-06-24,0,6,4
2,2024-07-12,4,7,4
2,2024-07-20,5,7,4
2,2024-08-09,4,8,3
2,2024-08-19,0,8,2
2,2024-09-23,0,9,2
2,2024-10-12,5,10,1
2,2025-02-13,3,2,2
2,2025-03-28,4,3,3
2,2025-04-01,1,4,4
2,2025-04-02,2,4,3
2,2025-04-03,3,4,1
2,2025-07-19,5,7,4
2,2025-08-05,1,8,3
2,2025-10-04,5,10,5
2,2025-10-11,5,10,3
2,2025-10-16,3,10,3
2,2025-10-18,5,10,2
2,2025-10-24,4,10,4
2,2026-02-08,6,2,2
3,2024-04-09,1,4,3
3,2024-04-28,6,4,1
3,2024-05-21,1,5,1
3,2024-05-31,4,5,3
3,2024-07-21,6,7,1
3,2024-09-11,2,9,4
3,2024-10-09,2,10,1
3,2024-10-19,5,10,3
3,2024-12-29,6,12,4
3,2025-01-13,0,1,1
3,2025-01-20,0,1,2
3,2025-02-01,5,2,3
3,2025-02-19,2,2,4
3,2025-03-22,5,3,4
3,2025-03-29,5,3,1
3,2025-04-08,1,4,1
3,2025-04-23,2,4,2
3,2025-05-26,0,5,1
3,2025-07-03,3,7,1
3,2025-07-27,6,7,2
3,2025-09-27,5,9,1
3,2025-10-18,5,10,2
3,2025-11-24,0,11,4
3,2025-12-14,6,12,3
3,2025-12-16,1,12,3
3,2026-01-23,4,1,1
3,2026-01-28,2,1,3
3,2026-02-04,2,2,3
4,2024-05-08,2,5,1
4,2024-06-19,2,6,4
4,2024-06-27,3,6,4
4,2024-07-08,0,7,2
4,2024-07-22,0,7,4
