order_id,user_id,product_id,order_date,quantity
1,376,98,2024-12-30,2
2,279,164,2024-07-06,2
3,312,33,2024-05-06,1
4,243,60,2025-04-13,4
5,358,106,2024-03-26,4
6,307,134,2025-06-11,3
7,77,180,2025-03-26,3
8,147,170,2024-07-15,1
9,460,92,2025-01-30,1
10,418,181,2024-08-28,4
11,396,59,2025-12-11,3
12,164,23,2025-11-20,3
13,350,195,2024-12-11,1
14,167,73,2026-01-04,1
15,307,132,2025-01-08,2
16,300,36,2025-08-31,4
17,498,94,2025-06-12,3
18,335,18,2025-11-24,1
19,251,69,2024-11-18,2
20,168,41,2025-06-29,4
21,102,157,2024-11-20,1
22,229,57,2024-03-26,1
23,90,33,2026-02-06,2
24,331,82,2025-11-18,4
25,307,126,2024-03-20,1
26,233,9,2024-10-03,4
27,453,191,2024-09-18,2
28,197,144,2024-03-22,1
29,161,85,2026-02-27,3
30,411,186,2024-08-15,2
31,339,15,2025-12-21,1
32,14,172,2025-07-19,2
33,367,90,2024-03-20,1
34,480,27,2024-11-26,1
35,467,106,2024-10-11,1
36,76,38,2026-02-06,3
37,472,146,2025-03-13,4
38,121,75,2025-06-23,3
39,276,96,2025-03-07,4
40,320,23,2025-10-22,2
41,186,197,2024-08-05,4
42,51,58,2024-04-27,1
43,381,63,2025-09-16,2
44,143,5,2025-05-19,3
45,77,44,2025-09-01,1
46,289,36,2024-05-04,2
47,82,57,2025-08-29,3
48,285,56,2024-12-23,3
49,378,140,2025-05-05,1
50,168,184,2025-01-20,3
51,35,133,2024-10-11,2
52,268,171,2025-10-18,1
53,88,116,2024-04-25,4
54,123,142,2024-05-18,4
55,438,82,2024-08-17,3
56,115,122,2025-05-19,4
57,410,105,2025-05-20,1
58,495,150,2025-07-19,3
59,154,131,2025-06-01,1
60,22,145,2024-12-15,4
61,484,65,2024-07-02,1
62,337,187,2025-03-08,3
63,97,81,2024-04-09,2
64,123,200,2024-10-10,2
65,289,76,2025-07-14,1
66,442,132,2025-02-06,4
67,313,144,2025-06-14,1
68,178,23,2024-12-07,1
69,159,96,2025-05-17,2
70,438,8,2026-01-20,3
71,301,128,2024-07-08,1
72,181,104,2026-01-22,4
73,326,105,2025-04-03,4
74,457,2,2024-05-21,3
75,290,7,2024-11-25,2
76,320,188,2025-08-21,4
77,97,5,2024-03-20,3
78,277,150,2025-05-11,2
79,196,173,2024-12-03,1
80,144,146,2024-08-04,2
81,137,92,2025-08-06,1
82,302,155,2025-07-07,2
83,128,153,2024-11-08,4
84,301,91,2024-07-07,2
85,423,126,2024-11-19,1
86,300,96,2025-10-24,4
87,370,139,2024-08-26,2
88,439,32,2024-07-07,1
89,34,49,2024-07-16,2
90,126,145,2024-12-24,4
91,152,24,2024-12-28,2
92,245,166,2024-08-30,1
93,31,74,2024-12-13,4
94,138,43,2025-01-01,4
95,385,111,2024-03-21,4
96,476,142,2024-03-23,3
97,166,197,2025-05-27,3
98,448,81,2025-02-08,1
99,198,156,2026-02-16,4
100,62,172,2026-02-27,4
101,487,172,2024-10-20,3
102,18,108,2024-09-09,1
103,165,47,2025-04-29,4
104,277,182,2025-10-29,3
105,108,25,2025-04-30,2
106,92,13,2025-09-16,3
107,301,55,2024-10-27,4
108,271,68,2024-07-14,3
109,88,146,2024-08-20,2
110,66,177,2024-11-02,4
111,444,98,2025-05-17,2
112,208,151,2025-01-11,2
113,112,193,2025-10-05,4
114,335,18,2025-05-09,2
115,128,54,2024-05-13,1
116,386,24,2024-09-09,4
117,129,30,2025-08-22,3
118,471,94,2025-07-12,2
119,458,155,2024-12-16,3
120,170,138,2024-06-22,1
121,346,133,2025-06-04,4
122,331,200,2024-12-13,4
123,500,43,2025-10-26,2
124,228,98,2025-08-24,1
